device_age_months,battery_capacity_mah,avg_screen_on_hours_per_day,avg_charging_cycles_per_week,avg_battery_temp_celsius,fast_charging_usage_percent,overnight_charging_freq_per_week,gaming_hours_per_week,video_streaming_hours_per_week,background_app_usage_level,signal_strength_avg,charging_habit_score,usage_intensity_score,thermal_stress_index,battery_health_score,battery_health
38,4500,7.1,11.4,34.8,90.8,7,7.9,14.0,2,1,4,10.0,4.04,28.58,Poor
28,3000,6.8,10.3,35.4,60.6,2,8.6,11.0,2,3,7,10.0,4.23,41.37,Poor
14,3000,7.2,11.2,29.4,29.3,4,0.3,10.3,2,3,6,10.0,2.21,63.62,Healthy
42,3000,5.5,8.3,32.8,62.5,0,1.9,4.9,2,3,8,10.0,3.13,45.5,Poor
7,3000,7.6,11.6,38.7,85.4,6,7.9,9.3,3,3,5,10.0,4.95,36.07,Poor
20,4000,7.4,10.1,30.7,20.9,2,7.4,4.1,2,3,8,10.0,3.04,61.79,Healthy
38,3000,7.8,11.8,32.7,50.2,4,6.8,12.0,2,3,7,10.0,3.48,43.0,Poor
18,5000,4.3,7.8,32.5,10.5,6,5.3,11.7,1,3,6,10.0,3.31,60.69,Healthy
22,3000,7.6,11.5,37.4,35.7,0,12.7,10.9,2,3,8,10.0,5.01,42.9,Poor
10,4500,4.5,5.9,33.3,78.7,0,5.2,16.2,2,3,8,10.0,3.5,56.72,Moderate
10,5000,5.2,9.3,30.6,15.1,1,3.5,14.0,1,3,8,10.0,2.74,68.87,Healthy
23,4500,5.1,8.4,30.7,68.0,4,0.7,20.4,1,3,6,10.0,2.56,53.96,Moderate
35,4500,3.5,6.0,29.2,47.2,1,4.1,14.9,2,2,8,10.0,2.46,59.23,Healthy
39,4000,2.0,3.8,31.8,40.8,5,2.4,10.8,1,2,6,10.0,2.94,53.29,Moderate
23,4000,7.9,10.8,30.7,24.2,6,3.2,8.5,1,2,6,10.0,2.73,57.7,Moderate
2,4500,4.1,6.8,29.5,73.0,7,7.3,2.9,2,2,4,10.0,2.77,61.04,Healthy
21,4500,5.0,8.8,31.1,46.3,6,5.7,16.9,3,2,6,10.0,3.02,55.55,Moderate
1,3000,4.0,5.6,30.6,50.4,7,5.1,12.9,1,3,5,10.0,2.85,66.07,Healthy
23,5000,5.0,5.6,33.9,33.9,0,2.6,7.7,2,2,9,10.0,3.43,59.53,Healthy
43,3000,4.5,7.1,29.1,14.5,6,4.5,11.5,1,3,6,10.0,2.46,57.09,Moderate
29,4000,8.1,12.1,35.3,51.0,2,15.5,10.7,3,3,6,10.0,4.72,37.47,Poor
37,4000,4.3,4.9,33.6,49.1,2,7.7,9.5,3,2,7,10.0,3.76,48.22,Poor
1,3000,8.9,14.0,32.9,68.0,2,2.2,14.6,2,1,7,10.0,3.17,54.57,Moderate
20,5000,7.8,12.2,34.9,61.3,4,3.5,2.3,3,3,6,10.0,3.74,43.74,Poor
32,4500,4.6,5.4,32.9,55.3,7,4.2,14.3,2,2,5,10.0,3.31,48.47,Poor
11,3000,6.1,11.1,33.3,94.4,3,3.1,16.6,2,2,7,10.0,3.33,48.13,Poor
21,4000,6.5,10.6,33.5,71.5,5,12.7,4.4,1,2,5,10.0,4.09,41.95,Poor
43,5000,7.2,8.9,33.0,13.7,5,3.4,0.2,2,2,7,10.0,3.28,49.76,Moderate
24,4000,7.4,11.9,36.4,28.9,1,4.2,12.3,1,3,7,10.0,4.13,45.71,Poor
48,5000,5.9,9.6,38.4,54.3,6,7.0,14.8,1,3,5,10.0,4.81,26.51,Poor
26,5000,3.6,6.8,33.4,53.7,3,3.2,5.6,1,2,7,10.0,3.35,52.06,Moderate
41,5000,6.8,9.5,33.2,16.0,6,1.2,3.0,1,3,6,10.0,3.17,48.46,Poor
27,3000,5.0,8.4,32.8,43.5,3,1.9,0.6,2,2,7,10.0,3.13,53.13,Moderate
15,3000,1.0,3.0,27.9,74.3,0,1.8,15.4,3,2,8,10.0,1.99,69.44,Healthy
14,3000,6.3,8.9,34.6,14.9,7,3.2,9.5,2,3,6,10.0,3.65,57.17,Moderate
46,5000,4.0,5.2,31.8,10.3,1,3.9,16.5,3,3,8,10.0,3.05,56.13,Moderate
